Date,GDPC1,PCEC96,GPDIC1,GCEC1,NETEXC,Date,GDP component sum
2004Q1,100.0,100.0,100.0,100.0,100.0,2004-03-31,400.0
2004Q2,100.77873875801,99.92966269123,103.99449409149,100.27119405512,107.13922362917,2004-06-30,411.33457446701004
2004Q3,101.72731583962,101.83394188897,105.60782035827,100.45592384171,110.49758526808,2004-09-30,418.39527135703
2004Q4,102.76699684922,102.92623891929,107.811267931,100.39869448677,112.99204127245,2004-12-31,424.12824260951004
2005Q1,103.9086174409,103.33067844472,110.84218633439,100.89964411857,112.11905629565,2005-03-31,427.19156519333
2005Q2,104.41424142682,104.7736276467,109.36730005742,100.84137544904,111.96806559016,2005-06-30,426.95036874332
2005Q3,105.234542658,104.64536549541,110.81278868595,101.17469369555,113.69923497213,2005-09-30,430.33208284904
2005Q4,105.83219934226,105.64767214539,114.41506393884,101.25381570941,117.5985015354,2005-12-31,438.91505332904
2006Q1,107.25952235874,106.64170381787,116.11374763307,102.53954843457,116.12839433698,2006-03-31,441.42339422248995
2006Q2,107.52293429513,107.06889953143,115.36504582072,102.50830194436,115.54681893428,2006-06-30,440.48906623079
2006Q3,107.68470920341,107.98121580107,114.91995291372,102.35941174794,119.04311195078,2006-09-30,444.30369241351
2006Q4,108.59325769015,109.11592209109,112.69044359592,103.20108893348,110.78414423468,2006-12-31,435.79159885517
2007Q1,108.91208625744,109.42726811961,111.91509625541,103.34414555768,111.26659311985,2007-03-31,435.95310305255
2007Q2,109.60741862353,109.69827363282,113.14946389948,104.2888825189,109.71066748091,2007-06-30,436.84728753211
2007Q3,110.26759140296,110.5899024587,112.00737568235,104.76569323121,104.6314595478,2007-09-30,431.99443092006004
2007Q4,110.93983116081,110.83815178378,110.62923060308,105.59241769718,96.229212348403,2007-12-31,423.28901243244303
2008Q1,110.48782959034,110.71195837686,107.71852981735,105.84004277953,93.739109453336,2008-03-31,418.00964042707596
2008Q2,111.1201462954,110.89297350973,105.76494140694,106.75631593152,83.616264708845,2008-06-30,407.030495557035
2008Q3,110.53466213164,109.61242074123,103.64439103292,107.62001988108,80.569710070483,2008-09-30,401.44654172571296
2008Q4,108.12158307499,108.79112922412,93.673876248827,108.3550499793,83.189535622737,2008-12-31,394.009591074984
2009Q1,106.86118542056,108.38875844306,82.849036611956,109.59129791953,71.796204834936,2009-03-31,372.62529780948205
2009Q2,106.6803355394,108.35565853305,78.072106385294,111.19392101544,58.912369422268,2009-06-30,356.53405535605197
2009Q3,107.06644366797,108.6825201444,77.893885747812,111.49773613814,62.253442998521,2009-09-30,360.327585028873
2009Q4,108.20987254738,109.29590285176,85.096226217615,111.69765332824,63.877401517121,2009-12-31,369.967183914736
2010Q1,108.75097978236,110.02720398854,87.032509629294,111.21829461886,66.143132721328,2010-03-31,374.421140958022
2010Q2,109.80336805902,110.79470815189,91.599986823182,111.56083259156,74.789278416165,2010-06-30,388.744805982797
2010Q3,110.65230637601,111.4722219349,95.685050691137,110.77343444858,78.96739272384,2010-09-30,396.89809979845705
2010Q4,111.22725040352,112.18800748885,95.380232520805,110.06830978951,73.323275577937,2010-12-31,390.959825377102
2011Q1,110.95928608519,112.67105930056,93.582138906182,108.7183407175,72.735730196773,2011-03-31,387.707269121015
2011Q2,111.71164635802,112.66899055618,97.410755202654,107.9819695682,69.593034030121,2011-06-30,387.65474935715497
2011Q3,111.66833892237,112.98240532909,97.733045166881,106.43925792938,69.667783135557,2011-09-30,386.822491560908
2011Q4,112.92089831794,113.04653640473,105.2656400702,106.36328738557,72.083634423393,2011-12-31,396.759098283893
2012Q1,113.84450414218,114.02091500564,107.46433398064,105.90746412269,70.478332087515,2012-03-31,397.871045196485
2012Q2,114.36347568381,114.01470877251,109.93865690693,105.35357649942,69.059964702502,2012-06-30,398.366906881362
2012Q3,114.56347793537,114.43776699732,110.43754125574,105.19419257829,69.218169131978,2012-09-30,399.28766996332797
2012Q4,114.68931224556,114.97564053498,109.45536790636,104.1614491398,65.672250669446,2012-12-31,394.264708250586
2013Q1,115.68457410954,115.38421754916,113.53655378665,103.2225457508,64.047545903538,2013-03-31,396.190862990148
2013Q2,115.8458213074,115.65729180674,114.80665729556,103.04894668819,66.512525139206,2013-06-30,400.025420929696
